PersonaTurn_IsTalking|Persona_Turn_Negativity|UserTurn_IsAttentive|UserTurn_IsTalking|User_Turn_Negativity|User_Turn_Positivity|Time
0.5154143571853638|0.11581876128911972|0.45885810256004333|0.9672298431396484|0.6311491131782532|0|522
0|0.057059504091739655|0.2246514856815338|0.5940514206886292|0.03908857703208923|0|511
0|0.4703035354614258|0.8721901774406433|0.6916710734367371|0.16500921547412872|0.020626358687877655|503
0|0|0.8997955322265625|0|0.030040627345442772|0|505
0|0.19680218398571014|0.06591272354125977|0.3314858376979828|0.030614402145147324|0.04917328804731369|457
0.9129994511604309|0.2841467261314392|0.8735660314559937|0.5233132243156433|0|0.6278765201568604|451
0.58196622133255|0.02798921801149845|0.19685105979442596|0.48258456587791443|0.34104594588279724|0|456
0|0|0|0|0|0|21
0.5761118531227112|0.062672920525074|0|0.4939839839935303|0.1295163780450821|0|513
0|0.045749738812446594|0.4473719000816345|0.5500530004501343|0.20354339480400085|0|513
0.5672298669815063|0|0.6984864473342896|0.9282428622245789|0.11895952373743057|0.06323900818824768|509
0.5806495547294617|0.4308108687400818|0.8942297697067261|0.8505690693855286|0.19192446768283844|0.24141986668109894|508
0|0.022038094699382782|0|0|0|0|513
0.5363139510154724|0|0|0|0|0|515
0.703067421913147|0.015712406486272812|0.3093733489513397|0.8749275207519531|0.0628499835729599|0.0394737645983696|514
0.5154143571853638|0|0.6142281293869019|0.26065027713775635|0.06287599354982376|0|516
0.6553324460983276|0.04193270206451416|0|0.3238731324672699|0.1814156025648117|0|512
0|0.05926710367202759|0|0|0.1889897584915161|0|517
0.5286594033241272|0.024802209809422493|0.6741958856582642|0.20602306723594666|0.3421696722507477|0.013329116627573967|518
0|0.1139845997095108|0.29426583647727966|0.5193503499031067|0.04068303853273392|0.02989729680120945|522
0|0.12071101367473602|0.7461318373680115|0.8383370637893677|0.12151237577199936|0|523
0|0|0|0|0|0|21
0|0|0.43183818459510803|0.28857460618019104|0|0|145
0|0|0|0|0|0|21
0|0|0|0|0|0|21
0|0|0|0|0|0|21
0|0|0.6308730244636536|0.7138193845748901|0.24053597450256348|0|21
0|0|0|0|0|0|21
0|0.0535319559276104|0|0|0|0|21
0|0|0|0|0|0|21
0|0|0.7284595370292664|0.8932528495788574|0.10918440669775009|0|257
0.6766043305397034|0.04868157207965851|0|0|0|0|257
0|0|0.013761294074356556|0.0060868398286402225|0|0|255
0.5840780735015869|0|0|0|0.021523769944906235|0|257
0|0|0|0|0|0|258
0|0|0|0|0|0|247
0|0|0|0|0|0|246
0|0|0|0|0|0|248
0|0|0|0|0|0|247
0.9999998807907104|0.183785080909729|0|0|0.09191392362117767|0|235
0|0.2795615792274475|0|0|0|0|234
0|0.026114139705896378|0.979438304901123|0.8759881854057312|0.18583638966083527|0.048201315104961395|241
0|0|0.37898963689804077|0|0.08743666857481003|0|223
0|0|0|0|0|0|259
0|0|0.0014922353439033031|0.0017947687301784754|0|0|259
0|0|0.8123562932014465|0.3750268518924713|0.08051930367946625|0|259
0|0|0|0|0|0|301
0|0|0|0|0.027158796787261963|0|300
0|0.05354797840118408|0|0|0|0|302
0|0|0.711820125579834|0.8170737028121948|0.1458396017551422|0|21
0|0|0|0|0|0|258
0|0.10592992603778839|0|0|0|0|300
0.5436751842498779|0.02689742110669613|0|0|0.15371082723140717|0|259
0|0.056843291968107224|0.20445959270000458|0.48049935698509216|0.02301345020532608|0|259
0.6252776980400085|0.05863634869456291|0.18325288593769073|0.19626681506633759|0.019317155703902245|0|256
0|0.032617777585983276|0.6193598508834839|0|0.1149873286485672|0|212
0|0.08803055435419083|0.8800162076950073|0|0|0.01567620038986206|211
0|0.02152269519865513|0.11793072521686554|0.002904401859268546|0|0.015349417924880981|213
0|0.059339940547943115|0.8583923578262329|0.22387869656085968|0.24722909927368164|0|329
0.7898572683334351|0.04678579047322273|0.7276517748832703|0.658950686454773|0.11899442970752716|0|329
0.7242534756660461|0.021634792909026146|0.4361512064933777|0.3841952383518219|0.17627933621406555|0|325
0.5916702151298523|0.14330559968948364|0.8446967005729675|0.7106732130050659|0.2603469491004944|0|328
0.58258455991745|0.12307079136371613|0.6828848719596863|0.10430365800857544|0.1423826813697815|0|327
0|0.10722442716360092|0.9001443982124329|0|0.07554575800895691|0.045910634100437164|220
0|0|0.5825314521789551|0|0.17892804741859436|0|229
0|0.28160104155540466|0.7772992253303528|0|0.09308265149593353|0.020642921328544617|222
0|0.3331054449081421|0|0|0|0|226
0|0.1587042212486267|0.8589496612548828|0.03277020901441574|0.14413021504878998|0|229
0|0.04700947552919388|0|0|0|0|225
0.9999998807907104|0.0204707570374012|0.10735879838466644|0.11566407978534698|0|0|21
0|0.017469612881541252|0.0077820271253585815|0.12441994994878769|0|0|440
0.90301913022995|0|0|0|0|0|440
0|0.19932569563388824|0|0|0|0|440
0|0|0.20388531684875488|0.38065609335899353|0|0|440
0.9999998807907104|0.07430630177259445|0.7953841686248779|0.8067348599433899|0.028848106041550636|0.011480830609798431|437
0|0|0.3218643069267273|0.42949146032333374|0.0513559952378273|0|131
0.5383370518684387|0.07918749749660492|0.6078331470489502|0.32715609669685364|0.03296244889497757|0|125
0|0.011715788394212723|0.885899543762207|0.0053018792532384396|0.023261498659849167|0.08118712902069092|122
0|0.03253548964858055|0.5694220662117004|0.0037314321380108595|0.2929018437862396|0|124
0|0|0.7707602381706238|0.0364113450050354|0.24913763999938965|0.04383224993944168|128
0|0.06059017777442932|0.11908125877380371|0.011426262557506561|0.1244814544916153|0|156
0|0.021041445434093475|0.5355491042137146|0.00322711281478405|0.18971776962280273|0|155
0|0.04974175989627838|0|0|0|0|133
0|0|0.6071770191192627|0.7303372621536255|0.24421283602714539|0|142
0|0.03133963793516159|0.9878392219543457|0.004420970566570759|0.042636074125766754|0.03905925899744034|200
0|0.015424830839037895|0.003385747317224741|0|0|0|203
0|0.012430766597390175|0.37160083651542664|0.003542752470821142|0.013425218872725964|0|203
0|0|0|0|0|0|205
0|0|0.4071475565433502|0|0.1303987056016922|0|209
0|0|0.009056822396814823|0|0|0|205
0|0|0|0|0|0|206
0|0.01215454377233982|0.7280930876731873|0.02948850393295288|0.13962872326374054|0|208
0|0.11081572622060776|0.743852436542511|0.002904401859268546|0.1567734032869339|0.029988279566168785|134
0|0.04707331955432892|0.8115527033805847|0.5057674050331116|0.11911678314208984|0|136
0|0.07311653345823288|0.34933680295944214|0|0|0|136
0|0|0.09798693656921387|0.023889416828751564|0|0|140
0|0|0.07468340545892715|0|0|0|139
0|0|0.8163283467292786|0.006786233279854059|0.06384361535310745|0.011122350580990314|142
0|0|0.41966119408607483|0.38192373514175415|0|0|138
0|0.020630503073334694|0.757142186164856|0.023658687248826027|0.44345784187316895|0|138
